question_number construct visualisation
3 # #  
4 # #  
6 # #  
7 Understanding A
8 KognBelastung A
9 KognBelastung A
10 Trust A
11 DecisionSupport A
12 DecisionTask A
13 DecisionSecurity A
17 Understanding B
18 KognBelastung B
19 KognBelastung B
20 Trust B
21 DecisionSupport B
22 DecisionTask B
23 DecisionSecurity B
27 Understanding C
28 KognBelastung C
29 KognBelastung C
30 Trust C
31 DecisionSupport C
32 DecisionTask C
33 DecisionSecurity C
37 Understanding D
38 KognBelastung D
39 KognBelastung D
40 Trust D
41 DecisionSupport D
42 DecisionTask D
43 DecisionSecurity D
47 Understanding E
48 KognBelastung E
49 KognBelastung E
50 Trust E
51 DecisionSupport E
52 DecisionTask E
53 DecisionSecurity E
57 Understanding F
58 KognBelastung F
59 KognBelastung F
60 Trust F
61 DecisionSupport F
62 DecisionTask F
63 DecisionSecurity F
